college_name,source
"JUBILEE MISSION MEDICAL COLLEGE & Research Institute, Thrissur",kuhs.txt
"4 KTN Govt. Nursing College, Kottayam NU 80 NA 0481-2598469",lbscentre_colleges.txt
"5 TRN Govt. College of Nursing, Thrissur NU 80 NA 0487-2208205",lbscentre_colleges.txt
"14 PKN Govt College of Nursing, Palakkad NU (40 seats reserved for 0491-2520025",lbscentre_colleges.txt
"58 KDN N.S. Memorial College of Nursing, Palathara, Kollam NU 30 30 0474 2729582,",lbscentre_colleges.txt
B.Sc. Nursing Private Self Financing Colleges – ( Kottayam District),lbscentre_colleges.txt
"80 BCN BCF College of Nursing, Chemmankary, Vaikom, Kottayam NU 25 25 04829-272000, 274000",lbscentre_colleges.txt
"Little Lourdes College of Nursing, Kidangoor.P.O, Kottayam-",lbscentre_colleges.txt
"Mar Sleeva College of Nursing, Cherpunkal PO, Pala, 04822-256559, 256518,",lbscentre_colleges.txt
"Assisi College of Nursing , Propose P.O ,Erumely, Kottayam-",lbscentre_colleges.txt
"Velankanni Matha College of Nursing, Thellakom ,Kottayam- 8606375333,",lbscentre_colleges.txt
"90 GGN College of Nursing, Guru Education Trust, Kottayam NU 30 30",lbscentre_colleges.txt
"Theophilus College of Nursing, Kangazha, Kottayam,(Christian -",lbscentre_colleges.txt
B.Sc. Nursing Private Self Financing Colleges–( Thrissur District),lbscentre_colleges.txt
"Amala College of Nursing,Amala Nagar P.O Thrissur – 680555 0487-2307574,",lbscentre_colleges.txt
"115 AWN Aswini College of Nursing, Nadathara P.O., Thrissur -680751 NU 40 40 0487-2317255,6557256",lbscentre_colleges.txt
"116 ETN Elite College of Nursing , Koorkanchery.P.O, Thrissur-680007 NU 20 20 0487-2436113",lbscentre_colleges.txt
"Jubilee Mission College of Nursing, P.B.NO.737,Thrissur East- 0487-2421885,",lbscentre_colleges.txt
"118 MCN Mother College of Nursing, Olari, Thrissur NU 30 30 0487-2434817, 2369021",lbscentre_colleges.txt
"119 SHN HospitalTrust, Kallettumkara .P.O Irinjalakuda,Thrissur-680683 NU 25 25",lbscentre_colleges.txt
"121 TSN Maria Theressa College of Nursing, Thrissur NU 25 25",lbscentre_colleges.txt
B.Sc. Nursing Private Self Financing Colleges – ( Palakkad District),lbscentre_colleges.txt
"123 CRN Crescent College of Nursing, Alathur, Palakkad NU 25 25 04922-225333, 326263",lbscentre_colleges.txt
"Karuna College of Nursing, Vilayodi, Chittoor P.O, Palakkad,",lbscentre_colleges.txt
"129 ADN Ahalia College of Nursing, Kozhipara, Palakkad NU 20 20 91889 09729",lbscentre_colleges.txt
"Valluvanad Institute of Nursing Sciences, Ottappalam,",lbscentre_colleges.txt
"MES College of Nursing, Malaparamba, Palachode,",lbscentre_colleges.txt
"3 MTV Government. Medical College, Kottayam CV SM=4 IAF=4 0481-2592406",lbscentre_colleges.txt
"3 KTD Govt. Medical College, Kottayam DT 11 0481-2592406",lbscentre_colleges.txt
"1 KIT Govt Medical College, Kottayam MI 10 0481-2592406",lbscentre_colleges.txt
"Mother College of Paramedical Sciences, Thrissur",lbscentre_colleges.txt
"West Fort College of Allied Health Sciences, Thrissur 8547864501",lbscentre_colleges.txt
"Govt Medical College, Kottayam",lbscentre_colleges.txt
"1 MKP Govt. Medical College, Kottayam PY 30 0481-2592406",lbscentre_colleges.txt
"BCF College of Physiotherapy, Vaikom, Kottayam 5,04829-271300",lbscentre_colleges.txt
"23 PMY Palakkad Institute of Medical Sciences, Walayar PY 25 25",lbscentre_colleges.txt
"4 Govt.Medical College,Palakkad",mbbs.txt
"6 Amala Institute of Medical Sciences, Thrissur",mbbs.txt
"Palakkad Institute of Medical Sciences, Walayar",mbbs.txt
"Kerala Medical College,Mangode, Palakkad",mbbs.txt
"Karuna Medical College, Palakkad",mbbs.txt
